Major,"I can remember specific details of problems that I recently solved, such as numbers, words or dates.","I like being active â€“ I am good at sports or dancing, or both!"
Accounting,-1,0
Actor,1,2
Anthropology,-1,-1
Computer Science,-1,-1
Digital Media,-1,0
Digital Production,-1,0
Director,1,1
Engineering,1,1
Finance,-1,-1
Graphic Artist,0,0
History,0,-1
Journalism,1,1
Languages,-1,0
Linguistics,-2,0
Literature,-2,0
Management,-1,0
Marketing,-1,0
Math,-1,0
Musician,1,0
Painter,0,0
Political Science,-1,0
Psychology,-1,0
Sales,0,0
Science,0,0
Social Studies,-1,0
Sociology,-1,0
Sound Engineer,-1,0
Technology,1,0